ITEST_id,NumActions,skill,correct
6173,194,least-common-multiple,1
6173,194,pattern-finding,1
6173,194,algebraic-manipulation,1
6173,194,circle-graph,1
6173,194,probability,0
6173,194,probability,0
6173,194,probability,0
6173,194,probability,1
6173,194,probability,1
6173,194,probability,0
6173,194,probability,0
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,probability,0
6173,194,probability,0
6173,194,probability,0
6173,194,probability,0
6173,194,probability,1
6173,194,probability,1
6173,194,probability,1
6173,194,triangle-inequality,1
6173,194,area,0
6173,194,properties-of-geometric-figures,1
6173,194,area-of-circle,1
6173,194,area-of-circle,1
6173,194,area,1
6173,194,area,1
6173,194,square-root,1
6173,194,fraction-multiplication,1
6173,194,inducing-functions,0
6173,194,pattern-finding,1
6173,194,inducing-functions,0
6173,194,pattern-finding,1
6173,194,pattern-finding,0
6173,194,pattern-finding,0
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,pattern-finding,1
6173,194,discount,0
6173,194,discount,1
6173,194,discount,0
6173,194,discount,0
6173,194,discount,0
6173,194,discount,0
6173,194,discount,1
6173,194,discount,1
6173,194,equivalent-fractions-decimals-percents,0
6173,194,equivalent-fractions-decimals-percents,1
6173,194,equivalent-fractions-decimals-percents,0
6173,194,equivalent-fractions-decimals-percents,1
6173,194,evaluating-functions,1
6173,194,interpreting-linear-equations,1
6173,194,noskill,1
6173,194,square-root,1
6173,194,inducing-functions,1
6173,194,inducing-functions,0
6173,194,equation-solving,1
6173,194,equation-solving,1
6173,194,symbolization-articulation,1
6173,194,inducing-functions,1
6173,194,probability,1
6173,194,order-of-operations,0
6173,194,order-of-operations,0
6173,194,order-of-operations,1
6173,194,order-of-operations,1
6173,194,order-of-operations,1
6173,194,order-of-operations,0
6173,194,order-of-operations,0
6173,194,probability,0
6173,194,probability,1
6173,194,equation-solving,1
6173,194,combinatorics,0
6173,194,combinatorics,1
6173,194,combinatorics,1
6173,194,combinatorics,1
6173,194,combinatorics,1
6173,194,equation-solving,1
6173,194,algebraic-manipulation,0
6173,194,subtraction,1
6173,194,pattern-finding,1
6173,194,division,1
6173,194,algebraic-manipulation,0
6173,194,algebraic-manipulation,0
6173,194,algebraic-manipulation,0
6173,194,algebraic-manipulation,0
6173,194,algebraic-manipulation,0
6173,194,noskill,1
6173,194,equation-concept,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,1
6173,194,noskill,1
6173,194,venn-diagram,0
6173,194,venn-diagram,1
6173,194,venn-diagram,1
6173,194,pythagorean-theorem,1
6173,194,noskill,1
6173,194,noskill,1
6173,194,area,0
6173,194,noskill,1
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,1
6173,194,area,1
6173,194,algebraic-manipulation,0
6173,194,algebraic-manipulation,1
6173,194,symbolization-articulation,0
6173,194,symbolization-articulation,0
6173,194,symbolization-articulation,0
6173,194,symbolization-articulation,0
6173,194,symbolization-articulation,0
6173,194,symbolization-articulation,1
6173,194,algebraic-manipulation,1
6173,194,equivalent-fractions-decimals-percents,1
6173,194,pattern-finding,1
6173,194,equation-concept,1
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,0
6173,194,noskill,1
6173,194,square-root,1
6173,194,multiplying-decimals,1
6173,194,point-plotting,1
6174,274,rate-with-distance-and-time,0
6174,274,rate-with-distance-and-time,0
6174,274,rate-with-distance-and-time,0
6174,274,rate-with-distance-and-time,0
6174,274,rate-with-distance-and-time,1
6174,274,linear-area-volume-conversion,0
6174,274,linear-area-volume-conversion,1
6174,274,linear-area-volume-conversion,0
6174,274,linear-area-volume-conversion,0
6174,274,linear-area-volume-conversion,0
6174,274,linear-area-volume-conversion,1
6174,274,linear-area-volume-conversion,1
6174,274,reading-graph,0
6174,274,reading-graph,1
6174,274,reading-graph,1
6174,274,reading-graph,1
6174,274,noskill,1
6174,274,symbolization-articulation,0
6174,274,symbolization-articulation,0
6174,274,symbolization-articulation,0
6174,274,symbolization-articulation,1
6174,274,symbolization-articulation,1
6174,274,symbolization-articulation,1
6174,274,probability,0
6174,274,probability,1
6174,274,probability,1
6174,274,probability,1
6174,274,probability,1
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,1
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,1
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,1
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,0
6174,274,interpreting-linear-equations,1
6174,274,interpreting-numberline,0
6174,274,interpreting-numberline,0
6174,274,interpreting-numberline,1
6174,274,multiplying-decimals,1
6174,274,noskill,0
6174,274,noskill,0
6174,274,noskill,1
6174,274,noskill,0
