ITEST_id,NumActions,skill,correct
645,381,graph-shape,1
645,381,pythagorean-theorem,1
645,381,transformations-rotations,1
645,381,n-number-sense-operations,0
645,381,n-number-sense-operations,1
645,381,n-number-sense-operations,1
645,381,n-number-sense-operations,1
645,381,n-number-sense-operations,0
645,381,n-number-sense-operations,1
645,381,median,1
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,1
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,1
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,0
645,381,interpreting-linear-equations,1
645,381,inducing-functions,1
645,381,unit-conversion,1
645,381,inducing-functions,0
645,381,addition,0
645,381,addition,1
645,381,addition,1
645,381,addition,1
645,381,addition,1
645,381,inducing-functions,0
645,381,inducing-functions,1
645,381,inducing-functions,1
645,381,meaning-of-pi,1
645,381,properties-of-geometric-figures,1
645,381,area-of-circle,1
645,381,unit-conversion,0
645,381,unit-conversion,1
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,0
645,381,unit-conversion,1
645,381,unit-conversion,1
645,381,noskill,1
645,381,mean,1
645,381,area,1
645,381,percent-of,1
645,381,circle-graph,1
645,381,divisibility,1
645,381,symbolization-articulation,0
645,381,symbolization-articulation,1
645,381,symbolization-articulation,0
645,381,symbolization-articulation,0
645,381,symbolization-articulation,1
645,381,symbolization-articulation,0
645,381,symbolization-articulation,0
645,381,symbolization-articulation,1
645,381,square-root,1
645,381,area,1
645,381,square-root,1
645,381,equivalent-fractions-decimals-percents,1
645,381,probability,1
645,381,multiplying-decimals,1
645,381,pattern-finding,1
645,381,percents,1
645,381,multiplying-decimals,1
645,381,inducing-functions,1
645,381,circle-graph,0
645,381,circle-graph,1
645,381,circle-graph,0
645,381,circle-graph,1
645,381,circle-graph,1
645,381,circle-graph,1
645,381,circle-graph,1
645,381,circle-graph,1
645,381,noskill,1
645,381,area,1
645,381,noskill,1
645,381,reading-graph,1
645,381,equation-solving,1
645,381,scientific-notation,1
645,381,pattern-finding,1
645,381,noskill,1
645,381,probability,0
645,381,probability,0
645,381,probability,0
645,381,probability,0
645,381,probability,1
645,381,probability,1
645,381,probability,1
645,381,probability,1
645,381,scientific-notation,1
645,381,pattern-finding,1
645,381,linear-area-volume-conversion,1
645,381,proportion,1
645,381,interpreting-linear-equations,0
